FirstPeakMagnitude,RMSValue,Mean,Max,Variance,Energy,FirstPeakFrequency,TimeOfFlight,HumanLabel
6049.479403,36552.72404,5821.404808,844528.7525,1302212881,1.09347E+13,439.3175709,0.005714286,0
6355.923793,43392.94991,6287.4444,950327.4536,1843416145,1.541E+13,351.841114,0.005772595,0
3898.556153,36862.3784,5651.207735,855684.7502,1326898792,1.11207E+13,351.1974585,0.005714286,0
4588.301922,44656.06296,6548.79738,978917.7011,1951277212,1.63202E+13,352.0104515,0.005772595,0
226375.893,35838.70226,5621.086181,831097.9489,1252815970,1.05116E+13,88.05596285,0.005714286,0
4736.351526,44389.0634,6287.753316,973090.4678,1930853108,1.61257E+13,352.1797891,0.005772595,0
6674.706085,35576.36808,5650.122289,823390.6887,1233754084,1.03583E+13,351.7534213,0.005714286,0
4481.025371,44690.74714,6346.291239,979285.7869,1956987467,1.63456E+13,440.3305723,0.005772595,0
189151.7731,37651.11729,5906.046677,871924.3049,1382725246,1.16017E+13,175.8339443,0.005714286,0
5495.701166,44672.04228,6586.656512,976773.0101,1952207317,1.63319E+13,176.3439009,0.005772595,0
5752.019301,36223.72107,5599.34768,841802.6292,1280805274,1.07387E+13,175.8339443,0.005714286,0
6609.243077,43042.43129,6202.121089,944314.9608,1814184585,1.51621E+13,176.3439009,0.005772595,0
10983.6323,37056.54856,5827.385902,856563.2009,1339229365,1.12382E+13,175.7911779,0.005714286,0
236606.3919,46095.0263,6556.005035,1004546.46,2081770248,1.7389E+13,87.78035734,0.005772595,0
6509.733826,38175.46118,5764.833705,882982.1486,1424132529,1.19271E+13,175.7056452,0.005714286,0
5045.066714,45469.60709,6585.751847,992036.5684,2024113041,1.69203E+13,351.9257828,0.005772595,0
33136.11041,36639.40977,5631.811291,849239.1857,1310729050,1.09866E+13,88.04527126,0.005714286,0
12297.9559,44835.06301,6487.611325,979797.9179,1968093774,1.64513E+13,794.5000778,0.005772595,0
8045.20855,47126.96146,6636.771912,1030764.826,2176903755,1.81763E+13,440.2776544,0.005772595,0
78715.8855,44216.29474,6285.136229,966868.3616,1915577783,1.60004E+13,87.9391113,0.005772595,0
26291.33267,35162.8237,5469.529744,816564.2158,1206508415,1.01189E+13,263.6546921,0.005714286,0
10787.48452,42886.11094,6303.921381,935094.9464,1799479087,1.50522E+13,440.7539162,0.005772595,0
9226.29163,35445.0142,5373.749485,820007.4578,1227471848,1.0282E+13,437.7672898,0.005714286,0
10706.67431,40489.40415,5861.494401,886617.6045,1605034732,1.34168E+13,352.1374547,0.005772595,0
14091.0292,36125.19287,5731.780656,834383.9148,1272176250,1.06804E+13,175.919477,0.005714286,0
203185.4245,43043.07998,6191.826885,936338.9496,1814368014,1.51626E+13,175.2643739,0.005772595,0
9806.260502,35944.48415,5508.968671,832075.3112,1261657205,1.05738E+13,175.7056452,0.005714286,0
